date,startup,vertical,subvertical,City  Location,investors,round,amount,Remarks
2016-05-07,BookMyShow,Consumer Internet,Event & Movie Ticketing platform,Mumbai,"Stripes Group, Network 18, Accel Partners, SAIF Partners",Private Equity,710.12,
2016-05-07,Flyrobe,eCommerce,Online fashion rental platform,Mumbai,"Sequoia Capital, Rohit Bansal, Kunal Bahl, Sandeep Tandon, Kunal Shah, Zishaan Hayath,\\xc2\\xa0 Abhishek Jain",Seed Funding,14.722,
2016-06-07,HappilyUnmarried,eCommerce,Online Merchandize etailer,New Delhi,Info Edge (India) Ltd,Private Equity,6.408399999999999,
2016-06-07,Don\\xe2\\x80\\x99t Scratch Your Head,Technology,Full Stack Offline & Online ERP Solution,Ahmedabad,"Gaurav Singhvi, Zaffiro Ventures",Seed Funding,2.165,
2016-06-07,Wedding Wishlist,Consumer Internet,"Wedding Wishlist, Gifts & Registry Creation platform",Chennai,"Kirthiga Reddy, Renuka Ramanath,Cherry Tin",Seed Funding,2.57202,
2016-07-07,AppDaily,Technology,Mobile Security App development & Distribution,Mumbai,"Kalaari Capital, Qualcomm Ventures, ru-Net, Zodius Technology Opportunities Fund,",Private Equity,17.32,
2016-07-07,Adytude,Consumer Internet,Gamified Consumer Insights Portal,New Delhi,Indian Angel Network,Private Equity,8.66,
2016-08-07,HolaChef,Consumer Internet,Online Food Ordering & Delivery Platform,Mumbai,"Kalaari Capital, India Quotient",Private Equity,16.887,
2016-11-07,Purplle,eCommerce,Beauty Products Marketplace,Mumbai,"JSW Ventures, Blume Ventures & IvyCap Ventures",Private Equity,51.959999999999994,
2016-11-07,Trak N Tell,Technology,Car Tracking & Safety System,Gurgaon,Brian Acton,Private Equity,30.31,
2016-11-07,Overcart.com,eCommerce,Unboxed & refurbished electronic products marketplace,Gurgaon,"JSW Ventures, Omidyar Network, Sattva Capital, Venture Works",Private Equity,25.979999999999997,
2016-12-07,SirionLabs,Technology,SAAS based Service Agreement Management,Gurgaon,Sequoia Capital,Private Equity,106.085,
,YAAP,Consumer Internet,"Online Content Discovery, Creation & Distribution Platform",New Delhi,Rainmaker Ventures,Private Equity,43.3,
,Twigly,Consumer Internet,Online Food Ordering & Delivery Startup,Gurgaon,"Tracxn Labs, Hyderabad Angels, Kunal Shah, Gaurav Bhalotia",Seed Funding,5.196,
,ShareChat,Consumer Internet,Vernacular Language Content Creation & Sharing App,Bangalore,"SAIF Partners, India Quotient",Private Equity,11.690999999999999,
,RentMojo,Consumer Internet,Online Furniture Renting Platform,Bangalore,"Accel Partners, IDG Ventures India",Private Equity,43.3,
,Augrav,eCommerce,Personalized precious Jewellery etailer,Coimbatore,Keiretsu Forum,Seed Funding,3.897,
,ShoppinPal,Technology,M-Commerce Solutions for Retail Stores,Pune,"Plug and Play Tech Center, Steelhead Ventures & Others",Private Equity,9.2662,
,WorkApps,Technology,Enterprise Work Management Software,Pune,SRI Capital,Seed Funding,8.66,
,BankerBay,Consumer Internet,Online Investment Banking platform,Bangalore,undisclosed investors,Private Equity,17.32,
,TripShelf,eCommerce,Travel Package Marketplace,New Delhi,GEMS group,Seed Funding,2.165,
,Ridlr,Consumer Internet,Public Transport Mobile App,Mumbai,"Times Internet, Innoven Capital, Matrix Partners India, Qualcomm Ventures",Private Equity,51.959999999999994,
,Yellowdig,Consumer Internet,Online Learning Platform,Pune,SRI Capital,Seed Funding,5.629,
,Zuppler,Consumer Internet,Online Food Ordering platform,New Delhi,SRI Capital,Seed Funding,5.629,
,BlueStone,eCommerce,Jewellery Etailer,Mumbai,"IIFL and Accel Partners, Kalaari Capital, IvyCap Ventures, RB Investments",Private Equity,259.8,
,Sagacito,Technology,Cloud-Based Enterprise Solutions,New Delhi,Star India Pvt. Ltd,Private Equity,86.6,
,Deal4Loans / Wishfin,Consumer Internet,\\nLoans Comparison platform\\n\\n\\n\\n     (adsbygoogle = window.adsbygoogle || []).push({});\\n\\n,Noida,Franklin Templeton International Services Pvt. Ltd,Private Equity,129.9,
,NiYO Solutions,Technology,Payroll & Benefits Software solutions,Bangalore,Prime Venture Partners,Private Equity,8.66,
,AppLop,Consumer Internet,Mobile Apps SaaS Platform,Gurgaon,Green House Ventures Accelerator,Seed Funding,2.165,
,Tax2Win,Consumer Internet,Online Tax Filing Portal,Jaipur,Undisclosed Investors,Private Equity,8.66,
,Truckola,Logistics,Tech-focused cargo transport startup,Mumbai,"Abhishek Agarwal, Krishnakumar Nataraj, Sarath Sura, Shanti Mohan, Sarthak and Nihit Agarwal, Suramya Gupta",Seed Funding,5.1527,
,MyTaxiIndia,Consumer Internet,Online Car rental booking platform,New Delhi,Nihon Kotsu Co,Private Equity,8.66,
,Wiwigo,Consumer Internet,Inter-City Taxi Booking platform,Bangalore,Indian Angel Network,Seed Funding,5.1527,
2016-02-06,Atomberg,Technology,"smart, energy efficient home appliance manufacturer",Mumbai,Parampara Capital,Private Equity,8.66,
2016-02-06,Limo,Consumer Internet,Bus Aggregator Mobile app,Mumbai,Rainmaker Ventures,Private Equity,8.66,
2016-03-06,GoGo Truck,Consumer Internet,Truck Aggregator & Booking platform,Chennai,Undisclosed Investor,Seed Funding,0.6495,
2016-03-06,Vyome Biosciences,Healthcare,Treatment Development for Antibiotic-resistant diseases,New Delhi,Romulus Capital,Private Equity,17.32,
2016-06-06,SillyMonks,Consumer Internet,Digital Media and Entertainment Startup,Hyderabad,Sreenivasa Reddy Musani,Seed Funding,3.87968,
2016-07-06,CueMath,Education,K-12 Maths Learning Courses,Bangalore,"Sequoia Capital, Unitus Seed Fund",Private Equity,34.64,
2016-07-06,KrazyBee,Consumer Internet,Student Micro-Loan platform,Bangalore,"Yeahmobi, Fenqile",Private Equity,17.32,
2016-07-06,Intgrea,Technology,Post merger Integration Partners,Bangalore,Undisclosed Investor,Seed Funding,0.866,
2016-07-06,HelpShift,Technology,Mobile CRM Platform,Pune,"Microsoft Ventures, Salesforce Ventures",Private Equity,199.17999999999998,
2016-07-06,CreditVidya,Technology,Credit Scoring Platform,Mumbai,Kalaari Capital,Private Equity,8.66,
2016-08-06,Grey Campus,Consumer Internet,Online Learning Platform,Hyderabad,Sarath Sura,Seed Funding,8.66,
2016-08-06,ListUp,eCommerce,Location based Classified Mobile app,Mumbai,"Kae Capital, Kunal Shah, Sandeep Tandon",Seed Funding,4.33,
2016-08-06,6Degree,Technology,Tech-enabled Fashion Talent platform,Mumbai,Indian Angel Network,Seed Funding,1.732,
2016-08-06,StoreKing,eCommerce,Connecting Small Town Consumers to E-Commerce,Bangalore,Axiata Digital,Private Equity,138.56,
2016-08-06,MySeniorDoctor,Consumer Internet,Online medical support platform,Gurgaon,BlackJag Partners,Seed Funding,1.732,
2016-09-06,EPayLater,Technology,Fin-Tech Platform,Mumbai,3 undisclosed HNIs,Seed Funding,17.32,
2016-10-06,Paytunes,Consumer Internet,Mobile based rewards platform,New Delhi,"CIO Angel Network, Indian Angel Network",Private Equity,4.33,
,Bombay Shirt Company,eCommerce,Online custom Shirt retailer,Mumbai,undisclosed investor,Private Equity,8.66,
,Matrubharti,Consumer Internet,e-Book Publisher,,Viridian Capital,Seed Funding,0.2598,
,Jivox,Technology,Data Driven Advertising platform,Bangalore,"You & Mr Jones, Fortisure Ventures, Diaz Nesamoney",Private Equity,51.959999999999994,
,Sminq,Consumer Internet,Queue management Mobile app,Pune,"Saama Capital, Blume Ventures & Vaibhav Domkundwar",Seed Funding,8.66,
,CureJoy,Consumer Internet,Online Alternative health community platform,Bangalore,Accel Partners India,Private Equity,38.104,
,Oneway.cab,Consumer Internet,Taxi Rental Platform,Vadodara,Indian Angel Network,Seed Funding,3.897,
,Diro Labs,Consumer Internet,Contact Management Mobile App,New Delhi,Info Edge (India) Ltd,Private Equity,3.897,
,Unnati Helpers,Consumer Internet,Help Hiring Platform,Gurgaon,Info Edge (India) Ltd,Private Equity,5.196,
,Voonik,eCommerce,Online Women\\xe2\\x80\\x99s Fashion Marketplace,Bangalore,Sequoia Capital,Private Equity,173.2,
,Cleartax,Consumer Internet,Online Tax Filing Platform,New Delhi,"Ravi Adusumalli, SAIF Partners",Private Equity,103.91999999999999,
,Silvan Innovation Labs,Technology,Home Automation Solutions,Bangalore,Infuse Ventures,Private Equity,7.794,
,GreytHR,Technology,Payroll & HR Software Developer,Bangalore,"New Enterprise Associates (NEA), Blume Ventures",Private Equity,45.032,
,Onspoon,Consumer Internet,Online Platform for Event Sponsorship,Mumbai,Swan Angel Network,Seed Funding,1.299,
,Celerix,Technology,Fintech Product Development & Services Startup,Bangalore,Bitkemy Ventures,Seed Funding,3.464,
,NatureNama,Consumer Internet,Online Outdoors & travel,Mumbai,Unicorn Venture,Seed Funding,1.9485,
,Syona Cosmetics,FMCG,Beauty Products & Training to Salons & Spas,Chennai,The Chennai Angels,Seed Funding,1.299,
,PrettySecrets,eCommerce,Women Lingerie Store,Mumbai,"RB Investments PTE Ltd, Orios Venture Partners",Private Equity,51.959999999999994,
,SpiderG,Consumer Internet,Online invoice app for SMEs,Pune,"Rahul Kirloskar, Fusion Tech Ventures, Adi Saravanan, Pravin Dongre, Mahendra Doshi",Seed Funding,1.299,
,FarEye,Technology,Logistics Management Software,New Delhi,Saif Partners,Private Equity,30.31,
,The Uolo,Consumer Internet,School Parent Communication App,Bangalore,"Purvi Ventures, Rajul Garg, Vipin Arora",Seed Funding,1.8186,
,Drivify,Consumer Internet,Professional Driver discovery & Booking Mobile app,Mumbai,"Jitendra Gupta, Pankaj Tripathi",Seed Funding,0.433,
,ParaBlu,Technology,Cloud Data Security & Privacy Solutions,Bangalore,Kalaari Capital,Seed Funding,4.33,
,Schedulers Logistics,Logistics,Cold Storage Logistics solutions,Mumbai,GVFL,Private Equity,51.959999999999994,
,LEAP India,Others,Supply Chain Equipment & Services provider,Mumbai,Mayfield Ventures,Private Equity,25.979999999999997,
,KabadiExpress,Others,Free Door Step Scrap Pickup Service,New Delhi,Undisclosed investor,Seed Funding,1.28168,
,YourDost,Consumer Internet,Online counselling & Personal coaching platform,Bangalore,"SAIF Partners, Aprameya Radhakrishnan, Phanindra Sama, Subba Rao Telidevara, Vibhu Garg, Paula Ravindra Mariwala, Gaurav Bhalotia",Seed Funding,10.392,
,Gomalon,Consumer Internet,Online Spa & Salon discovery & Booking platform,Bangalore,Undisclosed investor,Seed Funding,0.866,
,Travelyaari,Consumer Internet,Online ticket booking platform,Bangalore,GVFL Ltd,Private Equity,25.979999999999997,
,FabHotels,Consumer Internet,Online Hotel aggregator & Booking platform,Gurgaon,"Accel Partners, RB Investments",Private Equity,69.28,
,Locanix,Technology,GPS based SaaS Solutions,Ahmedabad,Undisclosed investors,Seed Funding,2.598,
,LendingKart,Consumer Internet,Online Working Capital Business Loans Platform,Ahmedabad,"Bertelsmann India Investments, Mayfield India, Saama Capital, India Quotient",Private Equity,277.12,
,Hello Tax,Consumer Internet,Online Tax Filing Platform,New Delhi,Sanjeev Sinha,Seed Funding,2.5547,
,LetReach,eCommerce,ECommerce SAAS Solutions,New Delhi,vCommission,Private Equity,0.866,
,TrendieApp,Technology,Visual Content Marketing,Kolkata,Harsh Vardhan Hada,Seed Funding,0.433,
,Velvetcase,eCommerce,Online designer jewellery marketplace,Mumbai,"Uniqorn Ventures Fund, TV Mohandas Pai, S Somasegar",Private Equity,12.989999999999998,
,Meru Cabs,Consumer Internet,Online/ Mobile Tax Cab booking,Mumbai,Brand Capital,Private Equity,216.5,
,Campus Diaries,Consumer Internet,Student focussed Content Discovery portal,Bangalore,Aarin Capital,Seed Funding,1.9052,
,Biryani Blues,Food & Beverage,QSR Chain,Gurgaon,Carpediem Capital & Others,Private Equity,3.1868799999999995,
2016-01-05,Get My Parking,Technology,Parking Technology Platform,New Delhi,The Chennai Angels,Seed Funding,3.2561599999999995,
2016-01-05,Prescribez,Consumer Internet,Health Service Aggregator Platform,Pune,Ankush Mehta,Seed Funding,1.2557,
2016-03-05,Mobikwik,Consumer Internet,Mobile & Digital Wallet,Gurgaon,"GMO Payment Gateway, MediaTek",Private Equity,433.0,
2016-03-05,Zwayam,Consumer Internet,Online Recruitment Platform,Bangalore,Undisclosed investors,Seed Funding,2.165,
2016-03-05,Zuver,Consumer Internet,Car driver Discovery App,Mumbai,"Shruth & Smith Group, Hermes Group",Seed Funding,1.5587999999999997,
2016-04-05,EasyRoads,Consumer Internet,Road Trip planning Mobile app,Mumbai,"Rohan Angrish, Hrishi Oberoi, Rahul Mehta, Kapil Hetamsaria, Pranav Dedhia",Seed Funding,1.732,
2016-04-05,Lenskart,eCommerce,Eyewear & Accessories etailer,New Delhi,"International Finance Corp, TPG Growth, Adveq Management, IDG Ventures, Ratan Tata, Kris Gopalakrishnan",Private Equity,519.6,
2016-04-05,Seclore,Technology,Enterprise Security Technology platform,Mumbai,"Sistema Asia Fund, Helion Venture, VentureEast, India Alternatives",Private Equity,103.91999999999999,
2016-04-05,SolarTown,Technology,Solar Rooftop system installation company,Chennai,Grex.in,Seed Funding,1.732,
2016-04-05,Comarete,Technology,Telecom & Media IT services company,Pune,Grex.in,Seed Funding,1.732,
2016-04-05,MyDentistChoice,eCommerce,Medical Supplies eTailer,Hyderabad,Undisclosed investors,Seed Funding,1.299,
2016-04-05,Active.ai,Technology,Intelligent Tech platform for Finance vertical,Singapore,Kalaari Capital Accelerator Program,Seed Funding,4.33,
2016-04-05,Affordplan,Technology,Affordable non-emergency medical service health plans,New Delhi,Kalaari Capital Accelerator Program,Seed Funding,4.33,
2016-04-05,Indee,Consumer Internet,Web Video Streaming Platform,Bangalore,Kalaari Capital Accelerator Program,Seed Funding,4.33,
2016-05-05,WebAlligator,Consumer Internet,Cloud Based Software Solutions,Bangalore,Group of undisclosed Angel Investors & HNIs,Seed Funding,3.2474999999999996,
2016-06-05,EduAce Services,Education,Education Workshops & mentoring programs,Lucknow,MoMagic Technologies,Private Equity,8.66,
2016-07-05,Zebroads,Logistics,Logistics and Warehousing services,Hyderabad,Undisclosed investors,Seed Funding,0.6495,
2016-09-05,Locus,Technology,Logistics Intelligence platform,Bangalore,"Exfinity Venture Partners, Blume Ventures, BeeNext, Rajesh Ranavat",Private Equity,23.814999999999998,
2016-09-05,Toko Innovations,Consumer Internet,Children\\xe2\\x80\\x99s Entertainment Portal,Bangalore,"Roopak Saluja, Vishal Khare",Seed Funding,3.897,
2016-09-05,Rentickle,eCommerce,"Furniture, appliances Portal",New Delhi,"Manish Kheterpal, Vinay Mittal, Dinesh Mittal, Sandeep Gupta",Seed Funding,2.165,
2016-10-05,HealthifyMe,Consumer Internet,Health & Fitness App,Bangalore,"IDG Ventures India, Inventus Capital, Blume Ventures",Private Equity,51.959999999999994,
2016-10-05,Zarget,Consumer Internet,Conversion Rate Optimization Platform,Chennai,"Accel Partners, Matrix Partners, Girish Mathrubootham",Private Equity,12.989999999999998,
2016-10-05,InnoNano Research,Technology,Clean Water Technology,Chennai,NanoHoldings,Private Equity,155.88,
2016-10-05,SchoolWear,eCommerce,School Uniform & Supplies Marketplace,Mumbai,Undisclosed investors,Seed Funding,12.989999999999998,
2016-10-05,Swiggy,Consumer Internet,Food Delivery Platform,Bangalore,"Norwest Venture Partners, DST Global, Accel Partners",Private Equity,60.62,
2016-11-05,Zenify,Consumer Internet,Home rental Discovery & Booking Portal,Bangalore,Undisclosed Investors,Private Equity,7.794,
2016-11-05,Fractal Analytics,Technology,Data Analytics Company,Mumbai,Khazanah Nasional Berhad,Private Equity,866.0,
2016-12-05,Unacademy,Consumer Internet,Free Online Education Platform,Bangalore,"Blume Ventures, Rajan Anandan, Sumit Jain, Aprameya Radhakrishna, Sujeet Kumar, Phanindra Sama",Seed Funding,4.33,
2016-12-05,Capital Float,Consumer Internet,Online Lending Platform,Bangalore,"Creation Investments Capital Management, SAIF Partners, Sequoia Capital, Aspada Ventures",Private Equity,216.5,
2016-12-05,Life Circle,Healthcare,Senior Healthcare Services,Hyderabad,GROUPE SOS,Private Equity,1.299,
,StayZilla,Consumer Internet,Budget Room Aggregator Booking platform,Chennai,"Matrix Partners, Nexus Ventures",Private Equity,116.91,
,WoW Express,Logistics,E-Commerce Logistics Solutions,Mumbai,Undisclosed Investors & Tamarind Family Private Trust,Private Equity,19.052,
,Smartivity,eCommerce,Smart Learning products,Delhi,"S Chand, AdvantEdge Partners",Private Equity,8.66,
,TheSmartQ,Consumer Internet,Food Ordering Mobile App,Bangalore,YourNest Angel Fund,Seed Funding,2.165,
,PurpleHealth,Consumer Internet,Online health-on-demand platform,Trivandrum,Katabole Technology Venture,Seed Funding,0.866,
,EduPristine,Education,Online Certification Courses,Mumbai,"Kaizen Management Advisors, DeVry Inc",Private Equity,86.6,
,BhiveWorkspace,Reality,Co-Working Spaces,Bangalore,Blume Ventures,Private Equity,8.66,
,Appie,Consumer Internet,Location-based offline retail discovery platform,Mumbai,Undisclosed investors,Seed Funding,8.66,
,TaxiVaxi,Consumer Internet,Cab Aggregating Platform,New Delhi,Undisclosed HNIs,Seed Funding,4.33,
,Veqta,Consumer Internet,On Demand Digital Sports Network,New Delhi,"Chatsworth Management, ITW Digital",Seed Funding,4.33,
,i2ifunding,Consumer Internet,Online Peer to Peer Funding,Noida,Undisclosed Investors,Seed Funding,2.598,
,Hoppingo,Consumer Internet,Fashion Discovery platform,New Delhi,vCommission,Seed Funding,0.7707399999999999,
,Goalwise,Consumer Internet,Online investment platform,Bangalore,Undisclosed HNIs,Seed Funding,8.66,
,Address Health,Healthcare,Pediatric Primary Healthcare Network,Bangalore,Gray Matters Capital,Private Equity,12.989999999999998,
,Arcatron Mobility,Technology,Mobility Devices for differently abled,Pune,Sudhir Mehta,Seed Funding,0.866,
,Cleartax,Consumer Internet,Online Income Tax Filing platform,Bangalore,"FF Angel, Sequoia Capital",Private Equity,17.32,
,mChamp,Consumer Internet,Celebrity Entertainment Contest App,New Delhi,MoMagic Technologies,Seed Funding,4.1135,
,Vahanalytics,Technology,Safe driving Analytics platform,Mumbai,"Anirudh Damani, Vikram Lakhotia",Seed Funding,1.732,
,Koovs,eCommerce,Apparel & Lifestyle eTailer,New Delhi,HT Media Ltd,Private Equity,38.104,
,CCavenue,Consumer Internet,Payment Gateway,Mumbai,NSI Infinium Global Pvt. Ltd,Private Equity,77.074,
,MachaDalo,Consumer Internet,Hyperlocal Advertising Platform,Mumbai,Undisclosed Investors,Seed Funding,1.5154999999999998,
2016-01-04,Dil Mil,Consumer Internet,Matchmaking Mobile App,SFO / Bangalore,"Nelstone Ventures, Transmedia Capital, Maiden Lane Ventures, CSC Upshot & Angel investors",Private Equity,23.381999999999998,
2016-04-04,Hungama,Consumer Internet,Digital Media Entertainment Portal,Mumbai,Xiaomi Inc,Private Equity,216.5,
2016-06-04,Shipsy,Logistics,Logistics Solutions,Gurgaon,DTDC Express Ltd,Private Equity,8.66,
2016-06-04,gear6,Consumer Internet,Online bike service and repairs platform,Bangalore,Ninestarter,Seed Funding,4.33,
2016-06-04,MyGlamm,Consumer Internet,Mobile based on-demand Beauty Services platform,Mumbai,L\\xe2\\x80\\x99Occitane,Private Equity,51.959999999999994,
2016-06-04,Petoo,Consumer Internet,Online Food Delivery Platform,Bangalore,Axilor Ventures,Private Equity,8.66,
2016-08-04,imedilane,Consumer Internet,Online Health Diagnosis platform,New Delhi,"Mahendra Patel, Nilender Chauhan",Seed Funding,0.3464,
2016-11-04,Living Local,Consumer Internet,Social discovery platform,Mumbai,Rattan Chadha,Seed Funding,1.732,
2016-11-04,Oyo,Consumer Internet,Online Branded Budget Room Booking Service,New Delhi,"Softbank, Sequoia Capital, Lightspeed Venture Partners, Greenoaks Capital, DSG Consumer Partners and Venture Nursery",Private Equity,866.0,
2016-11-04,PriceRaja,Consumer Internet,Price Comparison Portal,Gurgaon,Prashant Puri,Seed Funding,2.598,
2016-12-04,MagicX,Consumer Internet,On-Demand Task Management App,Bangalore,"Kris Gopalakrishnan, Dr. Ranjan Pai",Seed Funding,8.66,
,Legalraasta,Consumer Internet,Online legal Services for Startups,New Delhi,"Pravin Khandelwal, Yatin Kumar Jain",Seed Funding,8.66,
,RainCan,Consumer Internet,Subscription-based grocery delivery Mobile App,Pune,Dr. Aniruddha Malpani,Seed Funding,1.299,
,Hippily,eCommerce,Fashion ECommerce App,Mumbai,"Dr. Sridhar Ramaswamy, Rakesh Mathur",Seed Funding,2.165,
,kredX,eCommerce,Invoice discounting\\xc2\\xa0 Marketplace,Bangalore,"Prime Venture Partners,",Seed Funding,6.494999999999999,
,BeaconsTalk,Technology,contextual mobile advertising,Mumbai,"Rajeev Agrawal, Prashant Gooty",Seed Funding,0.866,
,RenewBuy,Consumer Internet,Online Car & Bike Insurance Comparison portal,New Delhi,Mount Nathan Advisors,Seed Funding,8.66,
,Vyomo,Consumer Internet,On-Demand Beauty Service provider,New Delhi,Naturals Salon Chain,Private Equity,129.9,
,NestAway,Consumer Internet,Furnished Home Rental Platform,Bangalore,Tiger Global,Private Equity,259.8,
,Tapchief,Consumer Internet,Expert Advice Platform,Bangalore,Vijay Shekhar Sharma,Seed Funding,1.299,
,Jugnoo,Consumer Internet,On-demand Delivery & Logistics platform,Chandigarh,Paytm & existing investors,Private Equity,86.6,
,Betaout,eCommerce,customer intelligence and marketing automation platform,Noida,"Stanford Angels, LetsVenture, Chennai Angels, Hyderabad Angels, Mumbai Angels",Private Equity,12.989999999999998,
,DriversCart,Consumer Internet,on-demand chauffeur provider,Chennai,ah! Ventures,Seed Funding,3.897,
,CollegeDekho,Consumer Internet,College & Student information platform,New Delhi,Man Capital,Private Equity,17.32,
,1mg,eCommerce,Online Pharmacy,Gurgaon,"Maverick Capital Ventures, Sequoia Capital, Omidyar Network",Private Equity,129.9,
,Licious,eCommerce,Mobile based Meat ordering App,Bangalore,Mayfield India II Management Ltd,Private Equity,25.979999999999997,
,TOKO Innovation Studios,Consumer Internet,Children\xe2\x80\x99s Entertainment Games & Products,New Delhi,Indian Angel network,Seed Funding,3.897,
,Commut,Consumer Internet,Shuttle Service Provider,Hyderabad,50K Ventures,Seed Funding,1.732,
,Dropkaffe,Food & Beverage,Ready-to-Drink Beverage Producer,Bangalore,"GrowthStory, Apurva Salapuria, Hitesh Oberoi, Sidharth Pansari, Nirupa Shankar",Seed Funding,4.763,
,Transerv,Consumer Internet,Digital Payments platform,Mumbai,"IDFC SPICE Fund, Micromax Informatics",Private Equity,129.9,
,ClearTax,Consumer Internet,Online filing of Tax returns,Bangalore,"Max Levchin, Scott Banister",Private Equity,11.258,
,Roposo,eCommerce,Social Fashion ECommerce Discovery platform,Gurgaon,Bertelsmann India Investments,Private Equity,129.9,
,MilkBasket,Consumer Internet,Micro Grocery Delivery Platform,Gurgaon,EVC Ventures,Seed Funding,4.33,
,ICHR,Consumer Internet,Mobile based Children health Information app,New Delhi,Undisclosed,Seed Funding,3.897,
,The Wedding Brigade,Consumer Internet,Online Wedding Information Portal,Mumbai,Blume Ventures & Other unnamed Investors,Seed Funding,5.196,
,DocsApp,Consumer Internet,Online Doctor Discovery & Chat platform,Bangalore,"Rebright Partners, Anand Rajaraman, Venky Harinarayan",Private Equity,10.392,
,Impact Guru,Consumer Internet,Online Crowdfunding platform for NGOs & Social Projects,Mumbai,"RB Investments, Fundnel",Seed Funding,4.33,
,LetReach,eCommerce,ECommerce SAAS Solutions,New Delhi,vCommission,Private Equity,0.866,
2016-02-03,MoMark,Consumer Internet,Mobile Wallet Aggregation platform,Noida,YourNest Angel Fund,Private Equity,5.196,
2016-02-03,Systemantics,Technology,Industrial robots maker,Bangalore,"Nandan Nilekani, Accel Partners",Private Equity,12.123999999999999,
2016-03-03,Imarticus Learning,Education,Financial Services & Analytics Education Institute,Mumbai,"Blinc Advisors, Amit Nanavati, Tashwinder Singh, Taranjit Jaswal, Amit Khanna",Private Equity,8.66,
2016-03-03,Shouut,Consumer Internet,Social Discovery Mobile app,New Delhi,Undisclosed investor,Seed Funding,4.33,
2016-04-03,Aahaa,ECommerce,Office Products Super Store,Chennai,"YourNest Angel Fund,",Private Equity,8.66,
2016-04-03,FTCash,Consumer Internet,Mobile Payments Platform,Kolkata,IvyCap Ventures,Seed Funding,1.299,
2016-04-03,Zappka,Consumer Internet,Mobile App discovery and review platform,Gurgaon,"Daman Soni, Rajat Gupta & Others",Seed Funding,0.866,
2016-04-03,medECUBE,Healthcare,Healthcare related Services provider,Gurgaon,Artiman Ventures,Private Equity,34.64,
2016-07-03,N.O.W,Consumer Internet,Bike Taxi Service & Hyperlocal Delivery App,Noida,"Ruchirans Jaipuria, Anuj Sanghi",Seed Funding,4.33,
2016-07-03,Ninjacart,ECommerce,B2B marketplace for Farmers & Retailers,Bangalore,"Accel Partners, Qualcomm Ventures, M&S Partners, Zop Smart",Private Equity,25.979999999999997,
2016-07-03,Reach,Consumer Internet,Cross Platform P2P file sharing mobile app,Bangalore,"Rebright Partners, Sol Primero, Sudhir Anandarao, Ankur Warikoo, Ankur Singla",Seed Funding,4.33,
2016-07-03,Vanity Cube,Consumer Internet,Hyperlocal Beauty Services platform,New Delhi,Unicorn Ventures,Seed Funding,2.165,
2016-07-03,Medidaili,Consumer Internet,Medical Support service platform,Bangalore,Undisclosed private investors,Seed Funding,0.866,
2016-08-03,LoveCycles,Consumer Internet,Women\\xe2\\x80\\x99s health Tracker,Bangalore,Prime Venture Partners,Seed Funding,6.494999999999999,
2016-08-03,Kartrocket,ECommerce,ECommerce SAAS platform,New Delhi,"Undisclosed Japanese investor, Bertelsmann India Investments, Nirvana Digital India Fund, Nirvana Digital Investment Holding Co Ltd, 500 Start-Ups",Private Equity,69.28,
2016-08-03,dunzo,Consumer Internet,Daily Task Management App,Bangalore,"Aspada Investment Advisors, Blume Ventures.",Seed Funding,5.629,
2016-09-03,SmartVizX,Technology,Virtual Reality Solutions,Noida,"Indian Angel Network, Stanford Angels, Entrepreneurs India",Seed Funding,4.33,
2016-09-03,MyGubbi,Real Estate,Interior Design & Home D\\xc3\\xa9cor Solutions,Bangalore,"Vipul Parekh, ajesh K Murthy,",Seed Funding,21.65,
2016-09-03,Nukkad Shops,Consumer Internet,Hyperlocal Grocery Delivery Service,Hyderabad,PurpleTalk Inc,Seed Funding,8.66,
2016-09-03,Justride,Consumer Internet,Self Drive Car Rental,Mumbai,Dheeraj Jain & Other angel investors,Seed Funding,3.464,
2016-10-03,Big Fish Ventures,Food & Beverage,premium dining lounges Chain,New Delhi,Undisclosed investors,Private Equity,96.12599999999999,
2016-10-03,Icertis,Technology,Contract Management Software Solutions platform,Pune/Seattle,"Ignition Partners, Greycroft Partners, Fidelity Growth Partners India",Private Equity,129.9,
2016-10-03,Supplified,ECommerce,Construction material eTailer,New Delhi,Mohit Goel,Seed Funding,8.66,
,PinkBlue,ECommerce,Medical Supplies eTailer,Bangalore,"Hari Krishna, Ajay Modani, Dr V Ravinder, Anirudh Rastogi, Abhishek Jain, Rakesh Gakhar, Rajeev Mudumba, Nagendra Prasad Bhanuprakash",Seed Funding,1.9364452799999996,
,TruckingCube,Logistics,"Domestic, Commercial, and Industrial Goods Movers",New Delhi,Agarwal Movers Group,Private Equity,129.034,
,FlipClass,Consumer Internet,Tutor Search Platform,Bangalore,"S Chand and Co Pvt Ltd, Blume Ventures",Private Equity,8.66,
,Proximit,Technology,Advertising Technology,Pune,Funding through 1Crowd platform,Seed Funding,1.299,
,WithMe,Consumer Internet,Personalized Fashion App,Gurgaon,"Alex Kuruvilla, Pradeep Guha, Saket Dhankar, Rajan Pandhare",Seed Funding,2.165,
,Gapoon,Consumer Internet,Hyperlocal Home Maintenance services,Bangalore,"Chandrashekar Tallapragada, Pankaj Kapoor",Seed Funding,1.5587999999999997,
